# t x y z vx vy vz E_kin E_pot E_tot
0.00000 -9.59132e-01 3.78749e-04 -8.69860e-19 2.14797e+06 9.90266e+03 -4.18688e-11 2.10148e-18 -1.03922e-16 -1.01821e-16
0.00000 -9.56956e-01 3.88649e-04 -9.13381e-19 2.20499e+06 9.89769e+03 -4.49809e-11 2.21453e-18 -1.04035e-16 -1.01821e-16
0.00000 -9.54722e-01 3.98544e-04 -9.58372e-19 2.26207e+06 9.89261e+03 -4.44732e-11 2.33066e-18 -1.04151e-16 -1.01821e-16
0.00000 -9.52432e-01 4.08434e-04 -1.00243e-18 2.31920e+06 9.88743e+03 -4.39565e-11 2.44987e-18 -1.04271e-16 -1.01821e-16
0.00000 -9.50084e-01 4.18319e-04 -1.04601e-18 2.37640e+06 9.88214e+03 -4.32942e-11 2.57220e-18 -1.04393e-16 -1.01821e-16
0.00000 -9.47679e-01 4.28198e-04 -1.08856e-18 2.43365e+06 9.87676e+03 -4.16410e-11 2.69763e-18 -1.04518e-16 -1.01821e-16
0.00000 -9.45217e-01 4.38072e-04 -1.13120e-18 2.49097e+06 9.87129e+03 -4.42356e-11 2.82620e-18 -1.04647e-16 -1.01821e-16
0.00000 -9.42697e-01 4.47941e-04 -1.17724e-18 2.54835e+06 9.86572e+03 -4.87186e-11 2.95790e-18 -1.04779e-16 -1.01821e-16
0.00000 -9.40120e-01 4.57804e-04 -1.22554e-18 2.60579e+06 9.86006e+03 -4.86356e-11 3.09275e-18 -1.04914e-16 -1.01821e-16
0.00000 -9.37485e-01 4.67661e-04 -1.27430e-18 2.66330e+06 9.85431e+03 -4.88309e-11 3.23076e-18 -1.05052e-16 -1.01821e-16
0.00000 -9.34793e-01 4.77512e-04 -1.32343e-18 2.72087e+06 9.84848e+03 -4.98447e-11 3.37195e-18 -1.05193e-16 -1.01821e-16
0.00000 -9.32044e-01 4.87358e-04 -1.37351e-18 2.77852e+06 9.84257e+03 -5.21919e-11 3.51633e-18 -1.05337e-16 -1.01821e-16
0.00000 -9.29236e-01 4.97197e-04 -1.42630e-18 2.83622e+06 9.83658e+03 -5.21016e-11 3.66392e-18 -1.05485e-16 -1.01821e-16
0.00000 -9.26371e-01 5.07031e-04 -1.47859e-18 2.89400e+06 9.83052e+03 -5.21488e-11 3.81471e-18 -1.05635e-16 -1.01821e-16
0.00000 -9.23448e-01 5.16858e-04 -1.53252e-18 2.95185e+06 9.82439e+03 -5.43928e-11 3.96874e-18 -1.05790e-16 -1.01821e-16
0.00000 -9.20467e-01 5.26680e-04 -1.58772e-18 3.00977e+06 9.81819e+03 -5.55400e-11 4.12600e-18 -1.05947e-16 -1.01821e-16
0.00000 -9.17429e-01 5.36495e-04 -1.64304e-18 3.06776e+06 9.81192e+03 -5.66042e-11 4.28652e-18 -1.06107e-16 -1.01821e-16
0.00000 -9.14332e-01 5.46303e-04 -1.70028e-18 3.12582e+06 9.80560e+03 -5.86065e-11 4.45031e-18 -1.06271e-16 -1.01821e-16
0.00000 -9.11177e-01 5.56106e-04 -1.75920e-18 3.18395e+06 9.79922e+03 -5.78515e-11 4.61739e-18 -1.06438e-16 -1.01821e-16
0.00000 -9.07964e-01 5.65902e-04 -1.81628e-18 3.24216e+06 9.79279e+03 -5.80410e-11 4.78775e-18 -1.06609e-16 -1.01821e-16
0.00000 -9.04693e-01 5.75691e-04 -1.87374e-18 3.30044e+06 9.78631e+03 -5.81574e-11 4.96143e-18 -1.06782e-16 -1.01821e-16
0.00000 -9.01363e-01 5.85475e-04 -1.93453e-18 3.35880e+06 9.77979e+03 -6.41456e-11 5.13842e-18 -1.06959e-16 -1.01821e-16
0.00000 -8.97975e-01 5.95251e-04 -2.00050e-18 3.41723e+06 9.77323e+03 -6.78516e-11 5.31876e-18 -1.07140e-16 -1.01821e-16
0.00000 -8.94528e-01 6.05021e-04 -2.06946e-18 3.47573e+06 9.76664e+03 -7.03543e-11 5.50244e-18 -1.07323e-16 -1.01821e-16
0.00000 -8.91023e-01 6.14784e-04 -2.14026e-18 3.53432e+06 9.76003e+03 -7.12257e-11 5.68948e-18 -1.07510e-16 -1.01821e-16
0.00000 -8.87460e-01 6.24541e-04 -2.21261e-18 3.59297e+06 9.75339e+03 -7.42223e-11 5.87990e-18 -1.07701e-16 -1.01821e-16
0.00000 -8.83837e-01 6.34291e-04 -2.28755e-18 3.65171e+06 9.74674e+03 -7.46584e-11 6.07371e-18 -1.07894e-16 -1.01821e-16
0.00000 -8.80156e-01 6.44034e-04 -2.36173e-18 3.71052e+06 9.74008e+03 -7.42402e-11 6.27092e-18 -1.08092e-16 -1.01821e-16
0.00000 -8.76416e-01 6.53771e-04 -2.43663e-18 3.76941e+06 9.73341e+03 -7.56168e-11 6.47155e-18 -1.08292e-16 -1.01821e-16
0.00000 -8.72618e-01 6.63501e-04 -2.51164e-18 3.82837e+06 9.72675e+03 -7.50188e-11 6.67560e-18 -1.08496e-16 -1.01821e-16
0.00000 -8.68760e-01 6.73225e-04 -2.58752e-18 3.88741e+06 9.72010e+03 -7.56518e-11 6.88309e-18 -1.08704e-16 -1.01821e-16
0.00000 -8.64843e-01 6.82942e-04 -2.66339e-18 3.94653e+06 9.71346e+03 -7.61880e-11 7.09403e-18 -1.08915e-16 -1.01821e-16
0.00000 -8.60867e-01 6.92652e-04 -2.73977e-18 4.00573e+06 9.70685e+03 -7.59488e-11 7.30844e-18 -1.09129e-16 -1.01821e-16
0.00000 -8.56831e-01 7.02355e-04 -2.81552e-18 4.06500e+06 9.70026e+03 -7.62449e-11 7.52632e-18 -1.09347e-16 -1.01821e-16
0.00000 -8.52737e-01 7.12052e-04 -2.89178e-18 4.12435e+06 9.69372e+03 -7.62205e-11 7.74768e-18 -1.09568e-16 -1.01821e-16
0.00000 -8.48582e-01 7.21743e-04 -2.97021e-18 4.18377e+06 9.68722e+03 -7.82391e-11 7.97254e-18 -1.09793e-16 -1.01821e-16
0.00000 -8.44369e-01 7.31427e-04 -3.05208e-18 4.24327e+06 9.68078e+03 -8.42696e-11 8.20091e-18 -1.10022e-16 -1.01821e-16
0.00000 -8.40096e-01 7.41104e-04 -3.13627e-18 4.30284e+06 9.67440e+03 -8.44080e-11 8.43280e-18 -1.10254e-16 -1.01821e-16
0.00000 -8.35763e-01 7.50775e-04 -3.22105e-18 4.36249e+06 9.66810e+03 -8.44486e-11 8.66821e-18 -1.10489e-16 -1.01821e-16
0.00000 -8.31371e-01 7.60440e-04 -3.30669e-18 4.42221e+06 9.66187e+03 -8.58692e-11 8.90715e-18 -1.10728e-16 -1.01821e-16
0.00000 -8.26919e-01 7.70099e-04 -3.39362e-18 4.48200e+06 9.65574e+03 -8.69562e-11 9.14964e-18 -1.10970e-16 -1.01821e-16
0.00000 -8.22407e-01 7.79752e-04 -3.48205e-18 4.54186e+06 9.64971e+03 -8.87689e-11 9.39567e-18 -1.11216e-16 -1.01821e-16
0.00000 -8.17835e-01 7.89399e-04 -3.57013e-18 4.60179e+06 9.64380e+03 -8.72003e-11 9.64527e-18 -1.11466e-16 -1.01821e-16
0.00000 -8.13203e-01 7.99040e-04 -3.66002e-18 4.66179e+06 9.63800e+03 -9.17777e-11 9.89842e-18 -1.11719e-16 -1.01821e-16
0.00000 -8.08511e-01 8.08675e-04 -3.75214e-18 4.72185e+06 9.63235e+03 -9.08128e-11 1.01551e-17 -1.11976e-16 -1.01821e-16
0.00000 -8.03760e-01 8.18304e-04 -3.84218e-18 4.78199e+06 9.62684e+03 -8.89821e-11 1.04154e-17 -1.12236e-16 -1.01821e-16
0.00000 -7.98947e-01 8.27929e-04 -3.92909e-18 4.84218e+06 9.62148e+03 -8.65103e-11 1.06793e-17 -1.12500e-16 -1.01821e-16
0.00000 -7.94075e-01 8.37547e-04 -4.01767e-18 4.90244e+06 9.61630e+03 -9.00089e-11 1.09467e-17 -1.12768e-16 -1.01821e-16
0.00000 -7.89143e-01 8.47161e-04 -4.10825e-18 4.96275e+06 9.61130e+03 -9.10552e-11 1.12178e-17 -1.13039e-16 -1.01821e-16
0.00000 -7.84150e-01 8.56770e-04 -4.19868e-18 5.02313e+06 9.60651e+03 -9.12293e-11 1.14923e-17 -1.13313e-16 -1.01821e-16
0.00000 -7.79096e-01 8.66374e-04 -4.29038e-18 5.08355e+06 9.60192e+03 -9.17305e-11 1.17705e-17 -1.13591e-16 -1.01821e-16
0.00000 -7.73983e-01 8.75974e-04 -4.38278e-18 5.14404e+06 9.59756e+03 -9.38720e-11 1.20523e-17 -1.13873e-16 -1.01821e-16
0.00000 -7.68808e-01 8.85569e-04 -4.47686e-18 5.20457e+06 9.59344e+03 -9.62933e-11 1.23376e-17 -1.14158e-16 -1.01821e-16
0.00000 -7.63573e-01 8.95161e-04 -4.57199e-18 5.26514e+06 9.58958e+03 -9.45489e-11 1.26264e-17 -1.14447e-16 -1.01821e-16
0.00000 -7.58278e-01 9.04749e-04 -4.66883e-18 5.32577e+06 9.58599e+03 -9.87504e-11 1.29189e-17 -1.14740e-16 -1.01821e-16
0.00000 -7.52922e-01 9.14333e-04 -4.76961e-18 5.38643e+06 9.58269e+03 -1.02822e-10 1.32148e-17 -1.15036e-16 -1.01821e-16
0.00000 -7.47505e-01 9.23914e-04 -4.87317e-18 5.44713e+06 9.57971e+03 -1.04771e-10 1.35144e-17 -1.15335e-16 -1.01821e-16
0.00000 -7.42028e-01 9.33493e-04 -4.97908e-18 5.50786e+06 9.57704e+03 -1.07676e-10 1.38174e-17 -1.15638e-16 -1.01821e-16
0.00000 -7.36489e-01 9.43068e-04 -5.08923e-18 5.56862e+06 9.57472e+03 -1.11827e-10 1.41239e-17 -1.15945e-16 -1.01821e-16
0.00000 -7.30890e-01 9.52642e-04 -5.20230e-18 5.62941e+06 9.57277e+03 -1.13026e-10 1.44340e-17 -1.16255e-16 -1.01821e-16
0.00000 -7.25231e-01 9.62214e-04 -5.31818e-18 5.69022e+06 9.57120e+03 -1.17696e-10 1.47475e-17 -1.16568e-16 -1.01821e-16
0.00000 -7.19510e-01 9.71785e-04 -5.43644e-18 5.75104e+06 9.57003e+03 -1.19021e-10 1.50644e-17 -1.16885e-16 -1.01821e-16
0.00000 -7.13728e-01 9.81354e-04 -5.55896e-18 5.81188e+06 9.56929e+03 -1.26269e-10 1.53848e-17 -1.17206e-16 -1.01821e-16
0.00000 -7.07886e-01 9.90923e-04 -5.68531e-18 5.87272e+06 9.56900e+03 -1.27015e-10 1.57086e-17 -1.17529e-16 -1.01821e-16
0.00000 -7.01983e-01 1.00049e-03 -5.81242e-18 5.93356e+06 9.56917e+03 -1.27764e-10 1.60358e-17 -1.17857e-16 -1.01821e-16
0.00000 -6.96019e-01 1.01006e-03 -5.94003e-18 5.99440e+06 9.56984e+03 -1.27333e-10 1.63663e-17 -1.18187e-16 -1.01821e-16
0.00000 -6.89994e-01 1.01963e-03 -6.06645e-18 6.05523e+06 9.57103e+03 -1.26858e-10 1.67002e-17 -1.18521e-16 -1.01821e-16
0.00000 -6.83909e-01 1.02920e-03 -6.19635e-18 6.11603e+06 9.57276e+03 -1.31905e-10 1.70373e-17 -1.18858e-16 -1.01821e-16
0.00000 -6.77762e-01 1.03878e-03 -6.33057e-18 6.17682e+06 9.57506e+03 -1.37267e-10 1.73776e-17 -1.19198e-16 -1.01821e-16
0.00000 -6.71555e-01 1.04835e-03 -6.46961e-18 6.23757e+06 9.57796e+03 -1.40577e-10 1.77211e-17 -1.19542e-16 -1.01821e-16
0.00000 -6.65287e-01 1.05793e-03 -6.61288e-18 6.29829e+06 9.58148e+03 -1.45683e-10 1.80678e-17 -1.19889e-16 -1.01821e-16
0.00000 -6.58958e-01 1.06752e-03 -6.76245e-18 6.35896e+06 9.58565e+03 -1.52054e-10 1.84176e-17 -1.20238e-16 -1.01821e-16
0.00000 -6.52569e-01 1.07711e-03 -6.91630e-18 6.41958e+06 9.59050e+03 -1.53985e-10 1.87704e-17 -1.20591e-16 -1.01821e-16
0.00000 -6.46119e-01 1.08670e-03 -7.07053e-18 6.48013e+06 9.59606e+03 -1.54096e-10 1.91262e-17 -1.20947e-16 -1.01821e-16
0.00000 -6.39609e-01 1.09630e-03 -7.22722e-18 6.54062e+06 9.60236e+03 -1.56657e-10 1.94849e-17 -1.21306e-16 -1.01821e-16
0.00000 -6.33038e-01 1.10590e-03 -7.38449e-18 6.60102e+06 9.60944e+03 -1.56446e-10 1.98464e-17 -1.21667e-16 -1.01821e-16
